Name,Price,Discount,image Link
Farmer's Choice Frozen Mixed Chicken Portions With Brine-Based Mixture 4.2kg, R199.99 , R199.99 ,/medias/lqi-10609881EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMzEyfGltYWdlL3BuZ3xpbWFnZXMvaDZkL2gyZS85MDk5Mzk2ODQxNTAyLnBuZ3w2YzZkMjJiZDIwZjFjMmUxODE2NmUwODZmMzFmZGIwNGI1NWIyMWJlZWE2MzMxYmM3MTIzY2ZjM2NjOTk3ZWQ3
Dessert Buns 6 Pack, R14.99 , R14.99 ,/medias/lqi-10152503EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMDA5fGltYWdlL3BuZ3xpbWFnZXMvaDEwL2gwOC85MTA4OTcwNjAyNTI2LnBuZ3w1ZDZmYzU1ZDFiNzhhMTQ5N2VhNmEwYzUzZWYxODA1MWZhZDhlOTkxZGU3MDkwMzE1MmMzMTc5N2EzYjIwMDhh
Tastic Long Grain Parboiled White Rice 10kg, R174.99 , R174.99 ,/medias/lqi-10130257EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyODk4fGltYWdlL3BuZ3xpbWFnZXMvaDg1L2gwNC8xMDA5OTYyOTIyODA2Mi5wbmd8NzU5YTlhZjAwNjY5YTczMGU1NGE4MGEzNDY1MjA4M2Y1ZTQ3OTJjMzc3YTZlNjM4N2VlMjY1MzZkYzE4NWNlMQ
Greens Frozen Mixed Vegetables 1kg, R34.99 , R34.99 ,/medias/lqi-10341056EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wzMDg4fGltYWdlL3BuZ3xpbWFnZXMvaDEyL2g2Ni8xMDEwNTA4MjQ0NTg1NC5wbmd8NjFjYTUxNDExYzdmZTZlNTUyZWI0ZGZkZDIxYmQ3MTY4NWRmZWM0NjczY2E5Y2VlMWMwMjIwM2U5ODJjOTM4NA
Imbo Red Speckled Beans 500g, R19.99 , R19.99 ,/medias/lqi-10151081EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzEwfGltYWdlL3BuZ3xpbWFnZXMvaDU1L2g1NS85NTY1NDYyMTM0ODE0LnBuZ3wzM2IxMTFmNTdjMzc2YmJlZTMwZDgwZWMyOWY4M2RkYjM2NWY1Nzc5ZThiOTkwMjU1NjhiNWQzYjViMjg4YWJk
Ritebrand Mayonnaise 750g, R26.99 , R26.99 ,/medias/lqi-10141784EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMzY4fGltYWdlL3BuZ3xpbWFnZXMvaDAxL2hhOC85MDk5NTc1NjU2NDc4LnBuZ3w5YzkzN2ZkNGE0Yjc3ZjljZDVlYTEwNTk0ZDNiNWNlM2U4ODI5MjYxOTJmZTMwYjZhYzcwOTcyZTUxYjI5YmQ2
White Star Super Maize Meal 2.5kg, R38.99 , R38.99 ,/medias/lqi-10138799EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMTY1fGltYWdlL3BuZ3xpbWFnZXMvaGRlL2g3Yi8xMDEwNTA0NjY2MzE5OC5wbmd8OTk0MmExMGIyMmRmZjBiODUyYWJjYzE1YWQ5OGJlY2VmZDRiNDZhMmE3NjI1OTMxODBiNDI2NThhN2RkMWU0Nw
Carling Black Label Beer Bottle 1L, R21.99 , R21.99 ,/medias/lqi-10602373EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wxNTc3fGltYWdlL3BuZ3xpbWFnZXMvaGEzL2g4Yy85Njk3MTAwMDA1NDA2LnBuZ3xlYTUyMWM1YTljMjIzOTExOGU2ODlkOTZkYTQwMTFjNjMyMDg2ODliMThhMDk3MjJmOTQ0NzRkYWQ1ZjliNjE3
Danone Ultra Mel Vanilla Flavoured Custard 1L, R34.99 , R34.99 ,/medias/lqi-10140293EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjEyfGltYWdlL3BuZ3xpbWFnZXMvaDRhL2g4ZC8xMDE3MTkzNjI3NjUxMC5wbmd8ODFiZWM1YThmNjgwYTJkOGQ1OGZiMDI5N2Q3NDNiNmJmMDYxODQzYTMzYTZmNmU3NjY1NDI0YWExNjkyYTYyMQ
The Bakery Small Trifle Dessert, R9.99 , R9.99 ,/medias/lqi-10135139EA-checkers300Wx300H?context=bWFzdGVyfGltYWdlc3wyMjI3fGltYWdlL3BuZ3xpbWFnZXMvaDAwL2gwOC85OTk4ODAzNzYzMjMwLnBuZ3w5YzYzNWE5ZWY2Y2Y2MzU1NDZmYTY1YjNlMGUxOGYyNTZjYzYwNWVlYjUzNzJlOTg3MGI4M2I2MmEwZjcyNzhj
